Sentence,Type
অনেক জনজাট ঘাটাঘাটি করার পর আপনার মতো একজন বেজালমুক্ত মানুষকে পেলাম অসংখ্যা ধন্যবাদ ভাই,No
"ধন্যবাদ স্যার, আপনি অনেক ভাল করে বুঝিয়ে বলতে পারেন",No
অসাধারন ভাই...অনেক কিছু শিখলাম.... অনেক অনেক ধন্যবাদ ,No
ধন্যবাদ ভাইয়া পুরো ভিডিও টা দেখলাম কিন্তু মনে হচ্ছে আসলেই পুরো সময় টাতে অনেক কিছু  জানলাম। ধন্যবাদ,No
অসাধারণ লাগল পুরো ভিডিও টা... এতদিন ফ্রিল্যান্সিং সম্পর্কে কোনো ধারনা ছিল না। আজ একদম পরিষ্কার হয়ে গেল। অনেক ধন্যবাদ ভাইয়া,No
"গত ১০ বছর ধরে ফ্রিল্যান্সিং আউটসোর্সিং শব্দ গুলোই শুনে যাচ্ছিলাম। আপনার এই ভিডিও দেখে স্বচ্ছ একটা ধারণা পেলাম, যদিও আমি পেশায় আইনজীবী।। ধন্যবাদ দিলে কম হয়ে যাবে।  অনেক ভালো রাখুক আল্লাহ আপনাকে",No
"অনেক মানুষকে এই বিষয়ে জ্ঞান দিতে দেখছি, আজকে  বুঝলাম এতোদিন যা দেখছি সবই ভূয়া। প্রকৃত একটা ভিডিও দেখলাম আজকে। ধন্যবাদ খালিদ ভাই",No
"প্রথমবার ভিডিও দেখে সাবস্ক্রাইব করে ফেললাম। অনেক গুরুত্বপূর্ণ তথ্য ছিল, যেটা আগে কখনও এত্তো সহজভাবে কেউ বুঝাতে পারেনি! ধন্যবাদ ভাইয়া",No
বিষয় টা নিয়ে জানার আগ্রহ ছিলো অনেক। আপনার মত করে আর কারো কাছ থেকে এত সুন্দর সাবলীল ব্যাখ্যা পাইনি।,No
আপনার ভিডিওগুলোতে অনেক কিছু শিখতে পারি। এই ভিডিওতে অনেক কিছু শিখলাম। পরের ভিডিওর জন্য অপেক্ষায় আছি।দোয়া করি ভালো থাকেন,No
অনেক অনেক গুরুত্বপূর্ণ একটা ভিডিও আপলোড দিয়েছেন। আপনার পরবর্তী শিক্ষামূলক ভিডিও দেখার অপেক্ষায় আছি,No
"এতো সুন্দর করে কোন বিষয়ে বুঝানো যায় তা জানতাম না, সত্যিই অসাধারণ। ভাই ব্যবসা সম্পর্কে আরো বেশি ভিডিও দেওয়ার অনুরোধ রইলো..",No
"ধন্যবাদ ভাইয়া,আপনার ভিডিও টার কথা গুলা অনেক গুরুত্বপূর্ণ, আপনার এই ভিডিও থেকে অনে কিচ্ছু শিখলাম, আশা করি কাজে লাগবে।",No
এই প্রথম করো ভিডিও খুব মনোযোগ সহকারে শোনলাম,No
